iter	Passed	Remaining
407	4260	6181
408	4265	6163
409	4274	6150
410	4289	6146
411	4296	6131
412	4304	6118
413	4309	6100
414	4317	6085
415	4322	6067
416	4337	6064
417	4341	6045
418	4344	6024
419	4370	6035
420	4401	6052
421	4412	6043
422	4446	6065
423	4452	6048
424	4461	6036
425	4472	6025
426	4480	6011
427	4518	6038
428	4525	6023
429	4534	6010
430	4544	6000
431	4567	6005
432	4593	6015
433	4602	6002
434	4607	5984
435	4614	5968
436	4620	5952
437	4648	5965
438	4654	5947
439	4659	5930
440	4665	5913
441	4670	5895
442	4675	5878
443	4702	5888
444	4728	5897
445	4734	5881
446	4743	5868
447	4749	5851
448	4755	5835
449	4781	5844
450	4790	5831
451	4796	5814
452	4809	5807
453	4822	5800
454	4857	5818
455	4867	5806
456	4895	5816
457	4902	5802
458	4910	5787
459	4930	5787
460	4938	5774
461	4962	5778
462	4973	5768
463	4990	5764
464	5007	5761
465	5018	5751
466	5026	5736
467	5035	5724
468	5042	5708
469	5051	5696
470	5058	5681
471	5069	5670
472	5078	5658
473	5087	5645
474	5095	5631
475	5104	5619
476	5115	5608
477	5128	5600
478	5136	5586
479	5143	5571
480	5148	5555
481	5156	5541
482	5162	5525
483	5173	5515
484	5176	5496
485	5179	5477
486	5182	5458
487	5188	5444
488	5191	5425
489	5244	5458
490	5313	5508
491	5329	5502
492	5346	5498
493	5357	5487
494	5367	5475
495	5376	5462
496	5402	5467
497	5421	5465
498	5438	5460
499	5448	5448
500	5460	5438
501	5468	5424
502	5479	5413
503	5487	5400
504	5497	5388
505	5505	5374
506	5512	5359
507	5520	5347
508	5530	5334
509	5544	5326
510	5555	5316
511	5564	5303
512	5580	5297
513	5592	5288
514	5602	5276
515	5619	5270
516	5635	5264
517	5655	5262
518	5665	5251
519	5675	5238
520	5687	5229
521	5715	5233
522	5723	5220
523	5730	5205
524	5741	5194
525	5748	5180
526	5757	5167
527	5767	5156
528	5775	5142
529	5782	5127
530	5791	5115
531	5798	5101
532	5804	5086
533	5811	5071
534	5816	5055
535	5820	5038
536	5822	5020
537	5825	5002
538	5828	4985
539	5831	4967
540	5834	4950
541	5837	4932
542	5840	4915
543	5855	4907
544	5931	4951
545	5970	4964
546	5983	4955
547	6004	4952
548	6017	4943
549	6031	4934
550	6044	4925
551	6056	4915
552	6073	4909
553	6092	4904
554	6098	4890
555	6123	4889
556	6131	4876
557	6138	4862
558	6147	4849
559	6155	4836
560	6161	4821
561	6170	4808
562	6180	4797
563	6188	4784
564	6195	4769
565	6201	4755
566	6208	4741
567	6225	4734
568	6246	4731
569	6256	4719
570	6272	4712
571	6293	4709
572	6297	4692
573	6301	4676
574	6303	4659
575	6306	4641
576	6314	4629
577	6317	4612
578	6341	4611
579	6383	4622
580	6392	4610
581	6401	4597
582	6409	4584
583	6417	4571
584	6425	4558
585	6433	4545
586	6441	4532
587	6448	4518
588	6455	4504
589	6467	4494
590	6477	4482
591	6486	4470
592	6493	4457
593	6500	4443
594	6510	4431
595	6519	4419
596	6528	4406
597	6536	4394
598	6544	4380
599	6552	4368
600	6563	4357
601	6572	4345
602	6581	4333
603	6592	4322
604	6604	4311
605	6619	4303
606	6629	4292
607	6640	4281
608	6656	4273
609	6665	4261
610	6674	4249
611	6682	4236
612	6690	4223
613	6699	4211
614	6709	4200
615	6716	4186
616	6723	4173
617	6734	4162
618	6740	4148
619	6749	4136
620	6756	4123
621	6765	4111
622	6771	4097
623	6778	4084
624	6790	4074
